reviewContent,sentiment,corpus
puassss bgttt tanks lazada semkin cinta dech..biar lh bintang yg brbicara..,positif,puas banget tanks lazada semkin cinta dechbiar bintang brbicara
oke lahh. d tingkatjan lagi,positif,oke tingkatjan
"baru nyampe td brangny ,alhamdulillah aman pngirimannya",positif,brangny alhamdulillah aman pngirimannya
"Puas, setelah 1 minggu pake lancar buat maen game kesukaan, cuma batrenya agak boros, mungkin karena prosesornya 15 watt, tp gpp yg penting lancar maen game",positif,puas 1 minggu pakai lancar main game suka batrenya boros prosesor 15 watt lancar main game
"brng sdh diterima dgn baik, sprt biasanya brng Oke, packing mantapppp,,,,",positif,barang terima barang oke packing mantap
Alhamdulillah barang slamat aampai tujuan kutir ny juga ramah makasih lazada pertahankan packing rapih,positif,alhamdulillah barang selamat aampai tuju tir nya ramah terima kasih lazada tahan packing rapi
"maaf mau nanya, driver tuchpad ny apa y, di mana downloadny, gk ada yg cocok aku intall",positif,maaf driver tuchpad nya iya downloadny cocok intall
"sip, otg sdh mendarat",positif,sip otg darat
"Bisa nyimpan ,  Terus Enggak Ke Baca Bahkan Ada Yang Hilang Dari Penyimpanan..... Di format Juga Agak Sulit  ( ex Fat).....",positif,simpan baca hilang simpan format sulit ex fat
Jelas jelas 64 Mb lalalaaa,positif,64 mb lalala
"mantap pesan kemarin datang skrg, nuhun asus",positif,mantap pesan kemarin terima kasih asus
Sangat Baik,positif,
cakeep.. ga ada masalah semuanya lancar jaya,positif,cakep lancar jaya
"paket sudah mendarat, thanks recommended seller",positif,paket darat terima kasih recommended seller
Barang sampai dengan selamat,positif,barang selamat
Pengiriman Cepat,positif,kirim cepat
"Lumayan cepet sampe, tinggal tunggu kartu garansinya dtg tq seller",positif,lumayan cepat tinggal tunggu kartu garansi terima kasih seller
Mantaaaaafff pake bingit.. Bisa terhubung ke wifi n nonton tv streaming... Kereeeen... Senang banget dapat discount n gratis ongkir waktu harbolnas.. meskipun sedikit worry krn kotaknya ada yg sedikit penyok. 😍😘👍👍,positif,mantaf pakai banget hubung wifi tonton televisi streaming keren senang banget discount gratis ongkos kirim harbolnas worry kotak penyok
"keren abis , agak lama sih tapi its ok lah ,belum pernah kecewa belanja di lazada. , kurirnya ramah. thanks lazada n lancar terus buat toko coocaa",positif,keren habis sih oke kecewa belanja lazada kurir ramah terima kasih lazada lancar toko coocaa
"kualitas ok, semua feature bisa berfungsi, tks coocaa",positif,kualitas oke feature fungsi tks coocaa
mksh lazada barangnya bagus,positif,terima kasih lazada barang bagus
Pengiriman cepat ke sidoarjo 3hari sampai Paket di terima dengan aman dan selamat Semoga awet sampai kakek nenek,positif,kirim cepat sidoarjo 3hari paket terima aman selamat moga awet kakek nenek
cool and good,positif,keren and good
Mendarat dengan slamatt menn tapi suaranya kurang kerass thanx lazda,positif,darat slamatt menn suara keras thanx lazda
"ok barang dh smpe,tq lazada, tq seller, tq kurirnyaa... semoga awet barngnya yaa",positif,oke barang smpetq lazada terima kasih seller terima kasih kurirnyaa moga awet barngnya
Barang sudah sampe gan dan responnya penjual bagus..good.thanks,positif,barang juragan responnya jual bagusgoodthanks
samsung Full hd 43N5001 sdh mendarat dg selamat..,positif,samsung full high definition 43n5001 darat selamat
"TQ gan, ada layanan gojeknya jadinya cepet nyampe, klo boleh saran coba dikasi bubble wrap, biar lebih aman pas pengiriman. Overall....gokillah",positif,terima kasih juragan layan gojek cepat saran coba kasih bubble wrap biar aman pas kirim overallgokillah
paket tlh sampai...packing baik...semoga tdk ada masalah dlm pemakaian nanti. thank' lazada...,positif,paket sampaipacking baiksemoga pakai terima kasih lazada
"barang ok,cuma pengirimannya aja agak lama,kepending di jasa ekspedisi sepertinya",positif,barang okcuma kirim lamakepending jasa ekspedisi
"Sesuai pesanan, packingnya cuma pakr bubble warp, agak khawatir juga apalagi kurir pake motor. tapi begitu dibuka monitor ok. test androidnya ok",positif,sesuai pesan packingnya pakr bubble warp khawatir kurir pakai motor buka monitor oke tes androidnya oke
"Tv sudah diterima dengan aman, namun pengiriman nya lama sekali, nyaris 10 hari baru tiba, overall utk tv gak ada kendala, cuma baru nggeh aja kalo layar lednya soft banget ya, di tekan dikit lgsg berbekas ke pixel dalamnya, meski balik lagi sih kondisi semula, tv saya merek lain, agak keras utk hal ini, jadi khawatir, mudah2an kalo ada kerusakan panel bisa di cover garansi",positif,televisi terima aman kirim nya 10 overall televisi kendala iya layar lednya lembut banget tekan langsung bekas pixel sih kondisi televisi merek keras khawatir mudah mudah rusa panel cover garansi
Bagus tidak ada cacat,positif,bagus cacat
barang sesuai pict trimakasih,positif,barang sesuai gambar terima kasih
"Pengiriman Cepat Sampai,. pesan Hari Rabu,. datang Hari jum'at di Sumenep - Madura",positif,kirim cepat pesan rabu jumat sumenep madura
Flashdisknya besar tapi udah support USB 3.0,positif,flashdisknya support usb 30
alhmdulilh brg uda sampai kmrin bgus trimksih lazada,positif,alhmdulilh barang kemarin bagus trimksih lazada
"Alhamdulillah Paketan TV LED Panasonic 32 inch dah sy terima dgn baik. tidak ada kekuranggan sekalipun.. Pengiriman Cepat Packing nya aman dan rapih. Terimakasih Lazada,Seller dan Kurir Ninja berkat kerja samanya... is The best....",positif,alhamdulillah paket televisi led panasonic 32 inch terima kekuranggan kirim cepat packing nya aman rapi terima kasih lazadaseller kurir ninja berkat kerja is the best
rosak kelmarin tanggal 25 augustus. bisa gak dapat uang kembali,positif,rusak kelmarin tanggal 25 augustus uang
packingnya apik semuanya apik,positif,packingnya apik apik
barang diterima kedua kalinya aku pesan dtngnya dan proses cpt sekali Terimakasih,positif,barang terima kali pesan dtngnya proses cepat terima kasih
Barang ori bagus cuman blm di instal microsoft windows nya,positif,barang orisinal bagus instal microsoft windows nya
barang sesuai dengan yang digambar. dikasih tambahan bonus install game+aplikasi. mantappp,positif,barang sesuai gambar kasih bonus install gameaplikasi mantap
barang blm di buka. kirim cepat sekali.. saya puas,positif,barang buka kirim cepat puas
"bagus, sesuai pesanan",positif,bagus sesuai pesan
barang oke trus dapet bonus lgi,positif,barang oke bonus
Bagus gambarnya. Bagus suaranya. Bisa browsing n youtube,positif,bagus gambar bagus suara browsing youtube
pengiriman cepat. barang ok,positif,kirim cepat barang oke
paket tlah sampai dgn sangat cepat....prosesnya mudah lancar....mksh seller mksh lazada mksh kredivo,positif,paket cepatprosesnya mudah lancarmksh seller terima kasih lazada terima kasih kredivo
"Barang OK, made in philippines. sayang pengirimin ngeccewain, moga seller bisa ganti ekspedisi yang laen.",positif,barang oke made in philippines sayang pengirimin ngeccewain moga seller ganti ekspedisi
mksh ada bonus y juga.  mantep lah...,positif,terima kasih bonus iya mantap
"barang joss bngt,,  qualitas gambar'y memuas'kn,, dn hrga bner"" lumayan beda dari harga pasarn,,",positif,barang joss banget qualitas gambary memuaskn hrga lumayan beda harga pasarn
"sip, semoga awet",positif,sip moga awet
"Packing rapi, sehari order langsung sampe', belum lagi bonusnyaaa...Banyak...Trims Lazada...Puas order di sini :)",positif,packing rapi order langsung bonusnyabanyaktrims lazadapuas order
"cepet sampai, cuma 1 hari.",positif,cepat 1
"Pesan tgl 4 dan baru datang tgl 12 februari, padahal estimasi waktu datang tgl 6-10. Smoga utk kedepannya lebih ditinggalkan lagi. Terimakasih Ea Online dan Lazadaaaa",positif,pesan tanggal 4 tanggal 12 februari estimasi tanggal 610 moga tinggal terima kasih iya online lazada
"puass banget barang ori, bergaransi juga,,,terima kasih",positif,puass banget barang orisinal garansi jugaterima kasih
Barangnya bagus dan pengirimannya cepat sekali. Terimakasih lazada,positif,barang bagus kirim cepat terima kasih lazada
"Barang bagus dan mendarat dengan selamat ,pengiriman oke 1 hari sampe .cuma kurang aman packingan nya gak pake kayu",positif,barang bagus darat selamat kirim oke 1 aman packingan nya pakai kayu
"Barang sampai bogor dalam 2 hari , barang normal dan lancar , lagi lagi belanja di lazada dan memuaskan , thanks lazada .",positif,barang bogor 2 barang normal lancar belanja lazada muas terima kasih lazada
sangat puas barang bagus kurir baik tks lazada,positif,puas barang bagus kurir tks lazada
"Karena barang sudah 3 hari sampai namun tak dikirim juga, akhirnya saya sendiri jemput ke gudang mereka. Jadi untuk pelayanan pihak kurir sangat buruk. Tapi untuk produk sendiri saya sangat suka, sangat suka. Spesifikasi dan harga bersaing dengan kompetitor lain yang mana produk ini menurut saya yang terbaik dengan kelas processor Celeren N4000. Semoga awet, amin. Thanks Lazada dan Asus!",positif,barang 3 kirim jemput gudang layan kurir buruk produk suka suka spesifikasi harga saing kompetitor produk kelas processor celeren n40 moga awet amin terima kasih lazada asus
produk sesuai dgn deskripsi,positif,produk sesuai deskripsi
"paket diterima dalam kondisi baik & berfungsi normal. sangat disayangkan kolom kelurahan pada sistem lazada tidak tercetak pada lembar alamat tujuan yang tertempel di paket, sehingga menyulitkan mitra kurir",positif,paket terima kondisi fungsi normal sayang kolom lurah sistem lazada cetak lembar alamat tuju tempel paket sulit mitra kurir
ninja top dah. cuma dua hari paket tipi nya sampe di tangan buyer. lanjutkan pelayanan prima nya y NINJA thanks,positif,ninja top paket televisi nya tangan buyer layan prima nya iya ninja terima kasih
"3x belanja TV disini, mantul banget coocaa. Terima kasih lazada.",positif,kali belanja televisi mantap banget coocaa terima kasih lazada
siipp....mantapp flash disk nya 👍👍,positif,siippmantapp flash disk nya
barang berfungsi dgn sangat baik...👍👍👍👍👍,positif,barang fungsi
"makasih seller dan lazada..  barang cepet sampe dan berfungsi dengan baik, 🙏🙏🙏",positif,terima kasih seller lazada barang cepat fungsi
barang sesuai sample...,positif,barang sesuai sample
Mantaaaaap.. Semoga awet..,positif,mantap moga awet
"benar benar kualitas Jepang, mantepp recommended bgetzz buat yang cari LED TV dengan design yang  apikk",positif,kualitas jepang mantap recommended bgetzz cari led televisi design apikk
Cuma tolong agk di perbaiki pngiriminya agak telat terlalu lama...biar cukup saya aja yg mngalaminya jangn smpe ke konsumen lainnya..tank lazada barang sesuai pesanan...slamat ulang tahun lazasa semga jaya slalu and sukse slalu,positif,pngiriminya telat lamabiar mngalaminya konsumen lainnyatank lazada barang sesuai pesananslamat ulang lazasa semga jaya and sukses
"Barang sudah nyampek dengan selamat, pengiriman lebih cepat dari perkiraan sampai, sudah saya cocokkan dengan usb bawaan dan sama persis, colok langsung detect. Thanks GemsTronic",positif,barang selamat kirim cepat cocok usb bawa persis colok langsung detect terima kasih gemstronic
barang sudah diterima dan berfungsi dg baik,positif,barang terima fungsi
"Barang okay, kualitas gambar bagus dan koneksi internetnya juga okay",positif,barang kualitas gambar bagus koneksi internetnya
"Bagus sih, pengiriman lebih cpt sblm hari H nya, packing rapi dipalisi kotak dari kayu, produk original.. No tipu², lazada keren",positif,bagus sih kirim cepat h nya packing rapi palis kotak kayu produk original no tipu lazada keren
Bagus...puas...cepat....baik hati tidak sombong dan rajin menabung....,positif,baguspuascepatbaik hati sombong rajin tabung
"Terima kasih Mi TV sudah saya terima, Proses super cepat order hari Sabtu hari Senin sudah nyampe, packing rapi, barang lengkap, pengiriman super cepat, terima kasih Xiaomi, Ninja Xpress, dan Lazada",positif,terima kasih mi televisi terima proses super cepat order sabtu senin packing rapi barang lengkap kirim super cepat terima kasih xiaomi ninja xpress lazada
tv bagus dan sesuai deskripsi. makasih seller dan lazada,positif,televisi bagus sesuai deskripsi terima kasih seller lazada
Brng sesui dgn gmbar...pengiriman cpt thx lazada,positif,barang sesui gmbarpengiriman cepat terima kasih lazada
produk bagus,positif,produk bagus
"Mantap, malem nya di pesen besok sore nya udah sampe. sayang tp gak ada bluetooth nya sekelas smart tv  ini karena OS nya bukan android",positif,mantap malam nya pesan besok sore nya sayang bluetooth nya kelas pintar televisi os nya android
cepat nympi da barang sesuai expectasi,positif,cepat nympi barang sesuai expectasi
"produk ori, buat transfer file cukup cepat dan pengiriman juga cepat. thanks",positif,produk orisinal transfer file cepat kirim cepat terima kasih
kurirnya cepat ninja ekspres,positif,kurir cepat ninja ekspres
"senang sekali tv xiaomi nya uda sampe, dari beberapa online lain cm lazada yg bs kasi free ongkir ke banda aceh, jadi cm beli 1,916 jt dapat free ongkir + packing kayu..kereennn...all the best buat lazada, sering2 lg promo nya ya, tapi tadi pas mau dipasang ke dinding ternyata ga muat dgn bawaan bracket tv 32 yg lama..jadi harus beli lagi bracket xiaomi 32 nya",positif,senang televisi xiaomi nya online lazada kasih free ongkos kirim banda aceh beli 1916 juta free ongkos kirim packing kayukereenall the best lazada promo nya pas pasang dinding nyata muat bawa bracket televisi 32 lamajadi beli bracket xiaomi 32 nya
pengiriman cepat pokoknya TOP deh. tq lazada n seller,positif,kirim cepat pokok top deh terima kasih lazada seller
barang sesuai dan original,positif,barang sesuai original
"alhamdulillah, tv led nya mendarat dg selamat, gambarnya ok pokoknya kreenlah nyampainya cepat trimakasi lazada smoga awet",positif,alhamdulillah televisi led nya darat selamat gambar oke pokok kreenlah nyampainya cepat trimakasi lazada moga awet
kerennnnn... makasih lazada Smart Android TV sudah sampai di Timika - Papua... suaranya bagussssss...  settingan awalnya emang agak susah butuh kesabaran dan skill tapi worth it lah dengan harga terjangkau fitur2 nya wah.. . kalo yang baru pertama kali pake. mending beli keyboard wireless deh. Saran neh buat Seller : kalau bisa xiaomi 43 inch bisa dikirim ke Timika - Papua. Sukses buat Lazada... Mantappppppp .. Ten Thumbs Up 👏👏👏👏👏👏👏,positif,keren terima kasih lazada pintar android televisi timika papua suara bagus ting susah butuh sabar skill worth it harga jangkau fitur2 nya kali pakai mending beli keyboard wireless deh saran nih seller xiaomi 43 inch kirim timika papua sukses lazada mantap ten thumbs up
kualitas bagus,positif,kualitas bagus
mantaps memang gk ada cacat mulusssss,positif,mantaps cacat mulus
"Wuih,  Setelah saya buka barangnya bagus gan, tidak ada goresan dan berfungsi dengan baik.",positif,buka barang bagus juragan gores fungsi
bagus....saya suka saya suka,positif,bagussaya suka suka
Barang sampe lebih cepat Terimakasih tidak ada kendala,positif,barang cepat terima kasih kendala
"Barangnya aman sampai rumah dan tidak ada cacat sedikitpun,,dan dalam 2 hari barang lgsg sampai,,  tp blum sempat pasang di kamar",positif,barang aman rumah cacat sedikitpundan 2 barang langsung pasang kamar
Barang sesuai pesanan.. Thx lazada,positif,barang sesuai pesan terima kasih lazada
"Alhamdulillah paket udah mendarat dengan aman.. kurir ramah pokok namah Recommended bangetlah.. kapasitas real 28,8 Gb tapi ga apa2 yang penting barang ok",positif,alhamdulillah paket darat aman kurir ramah pokok namah recommended banget kapasitas real 288 gb barang oke
"semoga awet , bismillah",positif,moga awet bismillah
barangnya bagus,positif,barang bagus
Trimah ksih lazada barang y sudah smpai dan tidak cacat sedikit pun.kurir y pun ramah dlm pelayanan y.,positif,trimah kasih lazada barang iya cacat punkurir iya ramah layan iya
"barang bagus tidak cacat , pengiriman lama",positif,barang bagus cacat kirim
"Akhirnya paket datang, tepat di akhir estimasi pengiriman, setelah dibantu cs Lazada. Terimakasih Lazada. Dan mengenai barang, paket dtg dengan packing bubble warp. Dan sedang di cek keseluruhannya, semoga ngak ada masalah.",positif,paket estimasi kirim bantu rekan lazada terima kasih lazada kena barang paket packing bubble warp cek moga
"bagus,diterima dengan baik",positif,bagusditerima
thanks lazada thanks seller barangnya uda sampe dengan selamat....tv nya mantulll.... mudah mudahan  awet..,positif,terima kasih lazada terima kasih seller barang selamattv nya mantul mudah mudah awet
good product,positif,good produk
Beli kemarin siang pagi ini udh nyampe tv nya.. packingnya keren.. lapisan Bubble wrapnya tebal.. kurirnya ramah.. dah dicoba langsung. So far so good.. g ada kendala. Suaranya jernih gambar ok.. thanks lazada..,positif,beli kemarin siang pagi televisi nya packingnya keren lapis bubble wrapnya tebal kurir ramah coba langsung sok far sok good kendala suara jernih gambar oke terima kasih lazada
barang bagus,positif,barang bagus
pesanan cepat... tidak ada cacat...,positif,pesan cepat cacat
"packing rapi,,, barang yang dikirim warna merah,pengiriman cepet, bonus sesuai dengan iklan....",positif,packing rapi barang kirim warna merahpengiriman cepat bonus sesuai iklan
Produk good😊,positif,produk good
Barang bagus sesuai Ekspektaai. kurir mantaps. hrg ekonomis. thx lazada dan seller,positif,barang bagus sesuai ekspektaai kurir mantaps harga ekonomis terima kasih lazada seller
"uda 2 x beli produk dan d toko ini..  aslii kerennn bgt,  pengiriman cepat,  kurir nya ramahhh..  moga TV nya awettt yaaa",positif,2 x beli produk toko asli keren banget kirim cepat kurir nya ramah moga televisi nya awet
TV Led TCL sdh di terima dengan selamat. dan Free Gift Breket menyertai nya... Trimakasih Lazada.,positif,televisi led tcl terima selamat free gift breket nya terima kasih lazada
mantul bgt,positif,mantap banget
"Barang diterima dgn baik, kualitasnya juga terlihat baguss!!! 👍👍👍",positif,barang terima kualitas lihat bagus
sip packing nya.. pake kayu. pengiriman jogja 6 hari,positif,sip packing nya pakai kayu kirim yoyakarta 6
1111 good promo,positif,1 good promo
"Pengiriman tepat waktu, barang aman dan sesuai pesanan,,",positif,kirim barang aman sesuai pesan
"Barang mantul semoga awet, ntar order lagi",positif,barang mantap moga awet order
mantap lah :),positif,mantap
Packaging paketnya rapi & aman utk barang pesanannya. Sampai sehari lbih cepat sebelum waktu perkiraan. Barang aman & bagus. Puas pakai deh,positif,packaging paket rapi aman barang pesan cepat barang aman bagus puas pakai deh
"Belum coba, saya percaya merknya",positif,coba percaya merknya
maaf baru kadih ulasan....barang sesuai dgn yg diharapkan,positif,maaf kadih ulasanbarang sesuai harap
Terima kasih sudah sampai dan sudah digunakan.. semoga awét tidak cepat rusak karena tegangan listrik...,positif,terima kasih moga aw t cepat rusak tegang listrik
MANTAP !!!,positif,mantap
terimakasih barang sudah sampai dan cepat pengerimannya.,positif,terima kasih barang cepat rim
Gak nyangka bisa dapat barang sebagus ini dengan harga yang worth to buy banget. Packing kayu yg bikin aman barang dan gak lecet sedikit pun.,positif,sangka barang bagus harga worth to buy banget packing kayu bikin aman barang lecet
"Barangnya Sangat Bagus... Datangnya Juga Cepat, Prosesnya Cepat, Barangnya Original Kok, masih disegel di Tempatnya itu, Sampe buka Tempat Flashdisknya aja susah, Karena Masih Baru...:)",positif,barang bagus cepat proses cepat barang original segel buka flashdisknya susah
produc nya bagus Memuaskan is the best,positif,produc nya bagus muas is the best
kualitas bagus tapi agak lama dalam pengiriman saja,positif,kualitas bagus kirim
"karena kita beli dari luar Negeri, saya sarankan untuk chat resseler sebelum pengiriman pesanan, untung nya paket saya terima dipacking secara baik dan aman dari benturan.",positif,beli negeri saran chat resseler kirim pesan untung nya paket terima bungkus aman bentur
"murah tapi bukan murahan, .mantap",positif,murah murah mantap
mantaf broh....gak rugi....,positif,mantap brohgak rugi
sesuai dengan gambar nya mantul dah,positif,sesuai gambar nya mantap
barang 2 hari sampai dari jakarta ke medan.. packing nya rapi amet plus bubble wrap.. mantap dha lazadanya.. da besttt,positif,barang 2 jakarta medan packing nya rapi amet plus bubble wrap mantap dha lazadanya best
Barang bagus.. Semoga awet,positif,barang bagus moga awet
Mantuulll...berfungsi dgn baik,positif,mantuulberfungsi
"barang bagus sesuai gambar, packingan rapi. thx",positif,barang bagus sesuai gambar packingan rapi terima kasih
barang sudah sampai hanya braket nya ga ada kenapa yah katanya free braket,positif,barang braket nya free braket
over all bagus tp agak lemot hehehe,positif,over all bagus lot hehe
sesuai gambar. pengiriman cepat,positif,sesuai gambar kirim cepat
sampai dgn selamat....,positif,selamat
Order kemarin siang. Pagi ini barang sudah sampai. Great job lazada.,positif,order kemarin siang pagi barang great job lazada
Barang top and ori thanks,positif,barang top and orisinal terima kasih
Kwalitas bagus pengiriman telat dikit 1 hr,positif,kualitas bagus kirim telat 1
TV diterima dg baik tidak ada yang penyok. Belum saya coba,positif,televisi terima penyok coba
kemari barang bener2 gres,positif,kemari barang gres
mantap..... istri saya sukaaa.....,positif,mantap istri suka
"barang bagus,mulus packing rapih mantap dgn harga murah,thank lazada.",positif,barang bagusmulus packing rapi mantap harga murahthank lazada
"berkali kali ambil barang ini selalu puas, harga hemat, gratis ongkir",positif,kali kali ambil barang puas harga hemat gratis ongkos kirim
"meskipun terlambat 1 hari dari jadwal estmasi penerimaan, tetapi puas banget dengan TV nya dan cara pengemasannya benar2 mantab dengan packing kayu+plastik bubble. Dapat hrg wkt flash sale juga, terima kasih Coocaa dan Lazada. TV nya mantab warna bagus, suaranya sayang msh mono, jack input lengkap bahkan ada jack buat PC",positif,lambat 1 jadwal estmasi terima puas banget televisi nya emas mantap packing kayuplastik bubble harga flash sale terima kasih coocaa lazada televisi nya mantap warna bagus suara sayang mono jack input lengkap jack pc
belum di coba,positif,coba
"flashdisk nya bagus, namun untuk proses pengiriman nya terlalu lama",positif,flashdisk nya bagus proses kirim nya
"Barang sampai dengan aman, barang dengan spek yang ditulis sama, segel asli, bnib, packing bubble tebal, kotak sama sekali tidak peyot lengkap dengan free tas ASUS. Mantap!",positif,barang aman barang spesifikasi tulis segel asli bnib packing bubble tebal kotak peyot lengkap free tas asus mantap
Bagus sesuai deskripsi. Thanks juga bonus2nya. Sukses terus buat lazada dan kenkez,positif,bagus sesuai deskripsi terima kasih bonus2nya sukses lazada kenkez
"pket sudah diterima,mkasih lazada,seller dan kurir ramah,semoga awet",positif,pket diterimamkasih lazadaseller kurir ramahsemoga awet
gambarnya yaaahhuuuudd banget... hehehe cliiiing,positif,gambar yahhudd banget hehe cling
Barang sesuai dengan gambar dan deskripsi,positif,barang sesuai gambar deskripsi
Bagus pokoke,positif,bagus pokoke
"Barangnya diterima dengan baik, berfungsi dengan baik dan no cacat. Terima kasih store.",positif,barang terima fungsi no cacat terima kasih store
Barang sampai dengan selamat.. barang oke banget.. cepet banget sampainya.. sesuai dengan harapan.. thxyu Lazada.. memuaskan dehhh pokoknya.. kurirnya oke banget ramah pelayanannya.. 😊😊😊,positif,barang selamat barang oke banget cepat banget sesuai harap thxyu lazada muas deh pokok kurir oke banget ramah layan
Alhamdulillah tv udh sampe dgn selamat  makasih buat lazada coocaa dan kurir jnenya juga ramah  pokoknya mantaaaaap dahhhhh,positif,alhamdulillah televisi selamat terima kasih lazada coocaa kurir jnenya ramah pokok mantap dah
Datang barang lebih cepat dari perkiraan saya.... Mantul bro n sis...,positif,barang cepat mantap bro sis
Terima kasih barang nya sudah di trima dengan baik dan aman...pengiriman cepat.. packing buble wrap...,positif,terima kasih barang nya terima amanpengiriman cepat packing buble wrap
keren.. tvnya mantull..,positif,keren televisi mantull
"mantap TV nya, hrga murah jg. tks",positif,mantap televisi nya hrga murah tks
recomended seller...good,positif,recomended sellergood
bagus pelayanan sabar dan ngirim nya cepat,positif,bagus layan sabar kirim nya cepat
"Barang smpe dengan cepet... Walaupun pakingnya cmn pake kantong coklat yg buat naro duit.... Tp its okay, nocacat barangnya.... Thanks penjual n lazada",positif,barang cepat paking pakai kantong coklat naro duit nocacat barang terima kasih jual lazada
"barang dah diterima dengan baik, sesuai",positif,barang terima sesuai
Barang sesuai pesanan pengiriman cepat barang blm di coba mudah2 an bagus,positif,barang sesuai pesan kirim cepat barang coba mudah mudah an bagus
"walaupn kedatangan barang melebihi estimasi tp tertutupi dgn barang yg bagus, packing yg rapi dan kurir yg sabar dan baik, sllu puas belanja di lazada, mkasih lazada",positif,walaupn barang estimasi tutup barang bagus packing rapi kurir sabar puas belanja lazada mkasih lazada
pengiriman sangat cepat,positif,kirim cepat
"Barang sudah sampai tadi, packing rapi kualitas ok lah",positif,barang packing rapi kualitas oke
"Barangnya sudah saya terima dengan baik, kurirnya ramah, dan pengiriman cepat. Thanks U LAZADA.",positif,barang terima kurir ramah kirim cepat terima kasih lazada
Terimakasij Kepada Lazada Barang Sudah Sampai Semoga Awet Dan Semoga Bermanfaat,positif,terimakasij lazada barang moga awet moga manfaat
Minta kirim video cara pemasangan kartu Sim dan micro sd,positif,kirim video pasang kartu sim micro sekolah dasar
Mantaap betul,positif,mantap
Sudah cek barang bagus.. harga murah.. mau beli lagi..,positif,cek barang bagus harga murah beli
sangat cocok tidak mengecewakan,positif,cocok kecewa
barang berfungsi  mudah2han awet,positif,barang fungsi mudah2han awet
barang bagus packing  rapih terimah kasih,positif,barang bagus packing rapi terimah kasih
"bagus, murah, cepat pengiriman.. mksh",positif,bagus murah cepat kirim terima kasih
Mantab lah... Termurah euy,positif,mantap murah euy
terima kasih...,positif,terima kasih
"mantap, barang ori, sayang gk dapet bracket nya, but overall worth lah untuk sekelas 24inch, ada usb movie, vga",positif,mantap barang orisinal sayang bracket nya but overall worth kelas 24inch usb film vga
"kualitas baik,  barang baik, kurir baik pengiriman baik, sya juga baik",positif,kualitas barang kurir kirim
mantab Alhamdulillah mendarat dgn aman dan pengiriman cepat.. semua berfungsi dengan baik.,positif,mantap alhamdulillah darat aman kirim cepat fungsi
Produk sangat baik menurut saya. terutama kalau kita bicara kualitas produk dengan harganya. sangat worth it. ini .pembelian kedua untuk priduk yang sama.,positif,produk utama bicara kualitas produk harga worth it beli priduk
barang sesuai deskripsi.. yg parah expedisinya nya..update tracking ga jalan update nya..ditelp ke call center expedisi dan email ke expedisi barang sdh sampai 2 hari lalu..ditanya bisa dianter kapan ga bs mastiin..alhasil ambil sendiri..,positif,barang sesuai deskripsi parah expedisinya nyaupdate tracking jalan nyaditelp call center expedisi email expedisi barang 2 laluditanya mastiinalhasil ambil
"pelayanan ramah, saller juga tanggapan cukup baik, walaupun barang yg saya terima dalam keadaan pecah tapi tidak kecewa karena proses untuk pengembalian barang mudah",positif,layan ramah saller tanggap barang terima pecah kecewa proses barang mudah
"barang sampai, kondisi bagus, semoga awet",positif,barang kondisi bagus moga awet
good produk,positif,good produk
"bagus,..semoga awet",positif,bagussemoga awet
good tv sudah diterima bagus,positif,good televisi terima bagus
pengiriman barang cepat respon cepat sehari sampe mantappppp  tingkat kan lagi pelayanan nya jaya selalu,positif,kirim barang cepat respon cepat mantap tingkat layan nya jaya
I like it...gooood 👍👍👍,positif,i like itgod
"packing rapih,pengiriman ok,kurirnya asyik barang sampai dengan mulus",positif,packing rapihpengiriman okkurirnya asyik barang mulus
"secara keseluruhan bagus sesuai dengan harga, cuma audionya cempreng banget, terus belum digital ternyata",positif,bagus sesuai harga audio cempreng banget digital nyata
"Barang diterima dgn kondisi sangat baik. Packing baik, sehingga barang terjaga. Dari segi kualitas sangat baik flasdisknya, di dalamnya terdapat file buku panduan original SanDisk. Dan juga pihak toko memberikan kertas nota & penunjuk pengembalian apabila product yg dikirim cacat. Thanks SanDiskOfficialStore",positif,barang terima kondisi packing barang jaga segi kualitas flasdisknya file buku pandu original sandisk toko kertas nota produk kirim cacat terima kasih sandiskofficialstore
Ternyata agak besar yaa muat bnyk ini trimakasih,positif,nyata muat terima kasih
"pengiriman nya sanyat cepat, brangnya ok.",positif,kirim nya sanyat cepat barang oke
Kurir yg dipakai ARK express. Lama pengirimannya. Diambil di depo surabaya tidak ada alamat jelas. Di lacak di history kurir katanya failed.,positif,kurir pakai ark express kirim ambil depo surabaya alamat lacak histori kurir failed
"Kualitas barang sangat mengesankan, walau di spesifikasi 1366 x 768p tetapi setelah dicoba u/ koneksi HDMI dan setel file .mkv bisa jalan di 1080p 50Hz, bener2 diluar dugaan bisa FullHD. Saya iseng tes bandingkan langsung dengan Sharp AQUOS IIOTO, gambarnya lebih jernih dan halus PHILIPS. Puas banget jauh melebihi harapan saya. Thanks Lazada.",positif,kualitas barang kesan spesifikasi 1366 x 768p coba koneksi hdmi setel file mkv jalan 1080p 50hz duga fullhd iseng tes banding langsung sharp aquos iioto gambar jernih halus philips puas banget harap terima kasih lazada
"mantap, puas bgt dengan produk smart TV nya, apalagi beli pas 9.9 flash shale harga beda sejuta dibanding harga display saat ini, dpt vip card guarantee juga,, semoga awet..",positif,mantap puas banget produk pintar televisi nya beli pas 99 flash shale harga beda juta banding harga display vip card guarantee moga awet
